epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.9434,2.25599,2.96585,1.89054,0.09797,0.09188,0.03583,0.00974,2.67564,2.93593,2.398,0.000660436,0.000660436,0.000660436
2,55.5348,1.49862,2.36276,1.41861,0.19015,0.46319,0.17838,0.07184,1.25188,2.36882,1.39061,0.00128331,0.00128331,0.00128331
3,86.6781,1.39013,2.23179,1.36744,0.17021,0.28926,0.12323,0.0523,1.75158,2.65489,1.90927,0.00186218,0.00186218,0.00186218
4,117.347,1.3007,2.11885,1.32591,0.24683,0.6043,0.25043,0.12091,1.33533,2.21467,1.50234,0.001802,0.001802,0.001802
5,146.715,1.22943,2.05776,1.28605,0.0718,0.4365,0.05979,0.02237,1.95968,2.95475,1.85419,0.001736,0.001736,0.001736
6,176.289,1.2025,1.99267,1.28253,0.28203,0.72056,0.36618,0.20985,0.8594,1.86066,1.17565,0.00167,0.00167,0.00167
7,199.92,1.20545,1.98598,1.28565,0.21323,0.76494,0.21112,0.05565,2.1102,2.25441,2.15189,0.001604,0.001604,0.001604
8,220.762,1.12379,1.89304,1.23988,0.04075,0.22247,0.02334,0.00706,2.40303,3.65115,2.38513,0.001538,0.001538,0.001538
9,241.254,1.09048,1.81703,1.22315,0.17675,0.68658,0.17351,0.04555,2.31991,2.2791,2.40153,0.001472,0.001472,0.001472
10,261.367,1.06099,1.76954,1.20877,0.25522,0.781,0.2884,0.11483,1.5692,1.90571,1.677,0.001406,0.001406,0.001406
11,280.995,1.08957,1.77066,1.2134,0.24675,0.8664,0.28996,0.11626,1.43801,1.94941,1.55498,0.00134,0.00134,0.00134
12,300.101,1.0325,1.72042,1.19188,0.10838,0.32867,0.06108,0.01068,3.48988,2.25391,4.52792,0.001274,0.001274,0.001274
13,319.286,0.95973,1.67922,1.14765,0.226,0.77058,0.23277,0.0433,2.92115,1.92723,3.7291,0.001208,0.001208,0.001208
14,339.109,1.04822,1.70347,1.19411,0.22381,0.67872,0.25654,0.07856,1.99294,2.13497,2.1054,0.001142,0.001142,0.001142
15,368.741,0.93268,1.65375,1.14308,0.23936,0.71617,0.26653,0.09562,2.05604,1.90285,2.31298,0.001076,0.001076,0.001076
16,398.727,0.85391,1.59673,1.10175,0.24308,0.75777,0.29366,0.13612,1.69422,1.64918,1.84024,0.00101,0.00101,0.00101
17,427.93,0.91847,1.57604,1.13271,0.21412,0.64059,0.22595,0.05393,2.77992,1.83521,3.27078,0.000944,0.000944,0.000944
18,456.988,0.81896,1.55127,1.08236,0.26551,0.92009,0.34668,0.15776,1.53176,1.51836,1.74454,0.000878,0.000878,0.000878
19,486.803,0.85736,1.53271,1.09157,0.27393,0.84278,0.35187,0.14958,1.74592,1.56594,1.98765,0.000812,0.000812,0.000812
20,515.24,0.79208,1.52053,1.06917,0.2692,0.8634,0.33166,0.11353,2.31303,1.56415,2.79454,0.000746,0.000746,0.000746
21,547.828,0.79305,1.53337,1.10182,0.28355,0.75569,0.38039,0.25328,0.67131,1.44407,1.06933,0.00068,0.00068,0.00068
22,566.833,0.65085,1.45876,1.01679,0.25616,0.78574,0.33194,0.20109,1.00847,1.51556,1.27813,0.000614,0.000614,0.000614
23,585.678,0.58205,1.43214,0.98674,0.29677,0.67815,0.39628,0.27364,0.5304,1.4084,0.98516,0.000548,0.000548,0.000548
24,604.367,0.54277,1.43048,0.95849,0.29905,0.83116,0.4034,0.27462,0.62044,1.35362,1.02977,0.000482,0.000482,0.000482
25,623.043,0.54714,1.42548,0.95707,0.29294,0.80161,0.41146,0.28231,0.49245,1.33136,0.96299,0.000416,0.000416,0.000416
26,641.72,0.49644,1.37714,0.93586,0.29608,0.7921,0.43252,0.28991,0.54116,1.3396,0.97961,0.00035,0.00035,0.00035
27,660.439,0.48101,1.36689,0.9313,0.31883,0.67745,0.44308,0.29285,0.59544,1.3442,1.00755,0.000284,0.000284,0.000284
28,679.185,0.44776,1.34795,0.91302,0.31758,0.7298,0.44657,0.26245,0.97379,1.35919,1.28046,0.000218,0.000218,0.000218
29,698.329,0.44843,1.3497,0.92266,0.32078,0.71166,0.44964,0.2866,0.7094,1.33304,1.07858,0.000152,0.000152,0.000152
30,717.079,0.42702,1.34295,0.90503,0.32805,0.65526,0.44957,0.28159,0.80351,1.35321,1.13844,8.6e-05,8.6e-05,8.6e-05
