image_id,prediction_string
000000000089,29 481.785 261.833 78 170.540 293.658 102 273.434 321.559 117 543.656 284.629 184 217.795 38.181 188 485.333 86.545 202 195.378 272.886 223 242.880 252.426
000000000315,9 173.815 47.104 69 311.806 310.751 98 210.964 129.483
000000000349,57 165.297 279.566 79 575.092 55.751 94 31.603 193.581 101 251.087 314.305 176 360.205 188.861 209 463.913 173.656 226 151.561 189.153
000000000446,8 305.619 99.209 13 198.221 105.943 22 89.173 191.281 138 260.941 346.302 179 144.624 275.049
000000000486,73 218.533 180.120 161 510.663 77.361 161 574.304 338.296 205 399.260 281.926 229 89.694 281.717
000000000612,42 25.482 113.775 64 345.249 199.454 71 526.661 311.703 113 90.796 202.013 222 341.992 304.497 248 518.689 156.289
000000000731,206 115.340 324.480
000000000825,19 311.019 256.449 77 197.318 169.264 94 429.016 98.102 186 536.729 70.945 189 241.906 220.260 198 51.955 235.093
000000000913,15 255.167 10.617 71 39.913 193.443 122 241.775 312.225 159 87.663 283.672 183 604.278 254.065
000000001144,1 513.517 280.992 81 95.831 288.954 151 117.413 42.822
000000001171,41 271.219 99.780 78 612.625 231.655 131 105.093 332.934 149 168.891 90.324
000000001228,46 392.466 142.949 74 453.984 17.971 111 267.757 260.625 122 387.506 29.670 179 580.670 296.205 228 107.130 312.805 229 228.165 305.114
000000001472,87 141.552 47.804 89 522.285 165.477 120 428.202 269.258 179 567.365 89.060 216 162.232 164.348 227 56.483 109.689
000000001589,25 37.298 285.302 53 615.342 204.234 56 108.232 178.702 65 159.962 251.151 121 316.702 91.327 236 131.623 103.696
000000001637,177 56.204 46.496 224 314.002 296.496
000000001785,76 54.340 288.294 188 574.225 166.620 212 167.135 111.627 237 146.486 314.629
000000001792,97 584.840 335.569 166 584.516 117.978 181 138.086 117.694 241 347.555 109.599
000000002270,6 568.098 78.314 18 458.197 255.015 27 307.536 230.186 31 73.613 104.009 64 235.141 141.935 67 47.603 284.341 246 521.605 186.132
000000002536,0 530.183 271.626 64 446.858 83.998 70 385.120 77.699 103 451.080 293.732 113 127.398 164.292 185 145.709 307.368 227 547.119 171.920
000000002894,4 370.460 209.652 98 59.236 328.422 119 190.766 97.847 119 263.346 102.449 129 147.232 312.458 159 278.797 287.795 180 524.484 284.314
000000003080,17 67.718 242.823 52 118.218 332.749 102 314.705 167.083 112 529.434 135.399 148 551.748 249.406 216 347.286 35.228 241 237.097 138.237
000000003224,54 106.168 266.125 77 514.110 19.110 109 405.225 246.122 124 452.740 144.667 129 448.205 217.699 136 249.716 151.156 242 496.382 201.033 248 270.185 267.927
000000003389,61 417.772 246.639 100 330.437 59.775 179 322.400 249.009 240 409.350 178.928
000000003793,50 261.215 169.124 67 604.232 54.350 90 383.046 280.064 165 394.649 172.807 166 202.948 297.997
000000004442,46 585.594 219.153 51 570.700 38.977 60 58.303 146.832 207 172.007 29.224
000000004549,74 564.742 318.641 149 124.193 99.690 152 480.710 204.807 177 271.309 61.162 178 515.601 130.989 205 608.522 48.476 222 555.123 70.346
000000005215,98 243.897 243.234 174 105.781 162.411 175 112.292 92.580 193 506.485 156.909 209 272.909 163.453 211 587.693 25.509
000000005483,120 241.188 287.424 233 342.491 291.451
000000005599,29 403.151 117.497 32 28.475 144.485 37 190.305 31.274 65 355.263 337.067
000000006074,79 595.351 196.535 107 14.402 43.314 108 343.041 170.194 111 46.229 236.447 195 535.725 40.398 248 152.825 297.280
000000006180,191 59.632 84.970
000000006262,43 118.395 124.822 73 280.749 100.880 81 125.447 204.185 145 553.169 273.330 213 60.264 82.850
000000006539,43 487.595 199.203 130 282.544 183.674 134 300.221 93.677 138 313.490 244.499
000000006811,9 379.153 160.729 51 79.429 199.434 84 379.321 261.935 89 165.444 205.712 151 457.523 229.412 213 321.342 159.636
000000007367,118 327.094 287.220 127 421.709 155.266 171 138.157 235.821
000000008042,46 460.437 224.901 85 94.217 140.312
000000008138,4 570.102 37.182 12 594.540 127.024 199 127.978 64.230 217 145.402 272.465 225 387.250 61.601 249 441.966 336.992
000000008401,3 39.836 273.849 9 124.383 335.337 55 436.768 216.911 110 569.745 215.319 177 245.482 296.343 180 271.256 156.852 189 141.814 270.836 208 463.531 134.701
000000008548,83 105.503 285.439 112 429.863 198.851 134 310.650 91.053 160 227.220 201.940
000000008676,85 418.833 119.194 101 189.512 257.449 114 275.590 77.685 238 242.278 271.297
000000008677,45 461.350 288.965 76 621.554 297.147 110 412.709 189.412 117 372.983 165.017 177 518.655 99.592 238 577.010 199.538
000000008747,13 568.476 257.108 16 355.853 164.011 37 253.893 269.092 127 24.179 183.980 158 204.629 136.874 177 456.177 38.252 178 607.256 139.827 179 467.780 158.238
000000009091,41 40.157 219.505 47 510.380 282.215 82 56.080 77.243 198 262.666 99.654
000000009236,33 586.417 219.170 92 158.529 155.888 94 402.986 234.741 171 481.115 229.140 188 74.619 196.324
000000009801,13 51.669 215.447 17 112.297 53.808 19 325.279 327.405 44 62.656 331.114 59 456.144 286.103 61 513.988 254.270 66 512.171 42.177 165 411.367 173.139 176 353.100 77.820
000000009983,33 127.579 97.081 50 536.737 191.513 106 206.243 139.737 203 399.057 277.706 206 506.030 340.999 231 600.252 106.669
000000010303,14 194.798 135.171 21 228.925 73.519 90 497.113 102.792 92 36.718 90.871 112 366.534 328.523 138 420.209 172.354 229 272.457 254.614
000000010358,22 260.192 229.187 26 576.407 317.403 129 129.808 276.722 146 236.875 144.906 231 447.707 304.892
000000010858,75 518.705 71.538 118 437.267 162.966 132 405.979 255.176 156 105.236 210.934 174 493.210 247.154 213 250.716 58.536 214 128.869 125.924 244 606.103 82.374
000000010867,29 561.659 131.257 44 479.515 106.241 118 309.052 306.001 165 349.515 117.518 204 42.536 56.683
000000010936,97 244.853 270.341 147 260.610 91.363 156 394.143 273.419 177 532.246 114.510 220 576.633 260.926
000000011256,13 443.203 237.201 91 21.939 110.469 180 275.458 86.957
000000011358,55 160.258 21.311 143 326.092 116.245 199 453.696 45.092 216 584.522 208.416 240 517.308 210.860
000000011474,94 337.921 188.789 233 167.426 90.564
000000011567,21 157.630 116.068 126 317.549 71.936 137 296.145 314.173 165 230.697 38.345
000000011579,2 527.207 297.588 27 78.797 253.992 34 533.954 146.062 52 606.192 105.526 73 423.457 334.614 132 166.538 28.310 184 144.119 233.994 220 296.225 83.087
000000012059,9 169.682 66.204 95 496.314 317.990 151 567.848 231.635
000000012138,0 525.233 259.546 53 185.080 268.789 237 37.520 256.045
000000012641,42 563.507 194.903 66 548.195 241.486 93 536.690 41.759 144 135.929 230.338 202 393.140 30.669 212 42.713 240.736
000000012959,16 187.457 282.205 33 373.330 134.363 45 424.462 190.675 48 485.109 117.147 126 393.874 280.732 147 55.212 254.729 194 281.214 44.259 204 522.325 242.283
000000013670,72 446.316 244.301 104 302.130 113.052 148 159.486 54.658 190 139.753 312.581
000000014090,22 20.408 326.583 84 426.915 320.119 127 495.642 197.384 145 320.989 63.528 219 539.809 46.289
000000014430,36 421.823 204.353 137 318.865 54.112 144 310.569 261.663
000000014769,112 381.197 155.205 149 475.072 201.453 169 326.567 57.154 223 53.218 212.250 231 241.423 283.456
000000014773,16 295.141 137.960 68 102.943 171.454 75 40.596 88.947 96 401.697 292.525 233 290.771 311.722
000000014801,31 59.154 169.619 94 475.630 202.836 144 112.487 68.997 194 572.643 228.193 224 412.519 49.294 230 619.499 274.852
000000014886,12 250.934 235.543 107 473.980 121.674 124 429.945 314.775 231 588.995 240.500
000000015409,21 293.701 305.073 23 137.610 36.759 38 488.482 71.563 58 607.107 168.484 126 566.258 331.871
000000015528,29 605.302 49.225 207 514.773 107.517
000000015653,17 24.741 230.467 37 595.059 191.031 99 432.175 84.472 148 461.954 285.920 170 251.321 41.421 175 571.003 126.158
000000016238,154 470.198 189.462 195 433.178 310.048 209 574.994 54.767 226 516.337 222.604 229 200.822 245.873
000000017376,64 347.268 241.552 131 239.032 75.201
000000017468,5 487.054 317.754 50 43.087 110.751 209 147.881 13.590 216 512.087 164.443
000000017570,0 411.022 111.353 8 357.620 124.342 13 110.237 222.940 28 242.916 310.476 101 299.915 194.695 128 384.239 256.486
000000017613,164 224.370 59.390 202 527.058 155.160
000000017869,65 603.113 157.838 147 525.759 176.094 221 481.705 45.156
000000017896,24 420.596 92.592 25 108.511 161.185
000000018211,8 398.973 223.387 46 48.597 11.492 86 322.031 295.865 115 207.383 131.799 169 334.339 88.913 189 534.205 96.822 198 581.397 119.495
000000018233,33 115.599 144.025 37 64.036 300.232 118 171.345 274.280 122 582.818 66.939 140 152.496 40.097 221 483.007 231.818 237 503.629 115.183
000000018336,11 34.106 127.959 30 538.788 248.039 47 316.420 98.040 138 140.574 271.792 163 502.633 79.970 225 585.980 166.122
000000018350,14 213.937 177.664 70 510.822 290.440 77 18.713 237.641 226 243.689 264.568 244 276.959 168.826 248 438.248 65.859
000000018531,17 520.711 120.132 43 592.724 305.950 49 319.159 273.613 111 359.464 201.376
000000018553,21 488.111 108.857 23 134.981 253.966 165 466.041 262.387 205 423.281 127.392
000000018641,22 410.676 42.336 24 368.947 199.889 68 227.862 157.229 189 127.092 189.784 189 442.232 275.622 190 226.435 193.830 224 556.963 74.493
000000018973,2 124.941 56.362 7 309.509 195.072 62 68.640 140.809 119 430.499 283.453 143 540.706 216.589 205 546.111 51.142 240 189.768 197.979
000000019060,33 26.180 288.582 99 103.107 67.701 117 293.610 264.735 169 96.820 139.125 195 519.289 134.116 220 506.181 69.602 231 144.492 44.476 237 332.147 328.591
000000019358,144 99.956 141.731 146 271.306 100.309 149 553.515 143.155
000000019385,12 174.228 39.268 24 468.044 243.566 46 607.257 39.783 86 176.209 245.368 116 499.187 35.169 142 557.566 159.584 144 139.524 312.125 144 366.542 24.675 157 531.807 152.193 240 123.207 137.477
000000019723,155 613.958 25.487 215 419.911 96.021
000000019737,67 297.976 192.448 116 165.900 207.994 145 485.736 94.570 182 35.675 196.292 211 320.286 246.411
000000020111,30 389.937 299.593 55 424.136 59.567 62 350.409 210.529 125 426.666 281.467 216 453.423 237.481
000000020254,71 135.499 68.263 101 324.621 270.134 114 550.688 228.223 144 283.372 226.766 189 245.513 59.208 232 298.449 182.789
000000020549,110 136.399 207.794 121 504.432 208.520 145 446.747 122.254 190 334.001 303.986
000000020820,32 413.066 268.370 90 348.975 251.429 90 49.828 289.980 99 87.238 54.187 147 551.091 184.207 195 121.577 178.557 249 143.296 128.670
